path;total_conversions;total_conversion_value;total_null
FB > retargeting> Retargeting;1;3.2;2
snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > Tiktok;1;13.4;2
FB;2;4.103;6
FB > paid search > paid search > Tiktok;1;2.427;2
offline > Tiktok > Tiktok;1;2.15;2
paid search > paid search > paid search > paid search > paid search;1;1.772;2
display > snapchat > paid search > display > display > display > display > Tiktok > Tiktok;0;0;2
snapchat > FB;1;7.812;2
FB > FB;1;2.36;2
paid search > paid search > paid search > Pinterest;1;4.55;5
Pinterest > FB;1;1.574;2
FB;2;6.41;6
snapchat > snapchat > FB > snapchat > snapchat > snapchat > snapchat > snapchat > FB > snapchat > snapchat > FB;1;4.838;3
snapchat > snapchat > Tiktok > snapchat > FB;1;6.524;2
FB > FB;1;2.362;2
paid search > FB;1;2.579;3
Tiktok > Tiktok > Pinterest > Pinterest > Pinterest > Pinterest > Tiktok > Tiktok > Tiktok > Tiktok > FB > Pinterest > Pinterest > Pinterest;1;2.593;2
paid search > Pinterest;1;2.35;3
snapchat > snapchat > snapchat > snapchat > snapchat > paid search > snapchat > paid search > Tiktok;1;3.331;2
snapchat > FB > snapchat > snapchat > FB > Tiktok > snapchat > FB;1;3.093;2
FB > Bing;0;0;2
snapchat > FB > snapchat > FB;1;2.86;2
Pinterest > FB > Bing;0;0;2
FB > display > snapchat;1;3.536;2
snapchat > paid search > paid search > paid search > paid search > Tiktok > paid search;1;3.1;2
snapchat;1;2.124;3
snapchat > snapchat > snapchat > Tiktok > snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > paid search > paid search > snapchat > snapchat > FB > Bing;1;5.453;3
paid search > Tiktok > display > Tiktok > Tiktok > Tiktok > Pinterest > Tiktok;1;2.68;3
paid search > snapchat > Pinterest > paid search > paid search > Bing;1;1.2;3
paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > Pinterest > Tiktok > paid search > Pinterest > Pinterest > Tiktok > Pinterest;1;2.8;2
FB;1;1.7;2
FB > Tiktok > FB;1;2;3
FB;0;0;3
Pinterest > snapchat > snapchat > Tiktok > snapchat > snapchat > snapchat > FB > paid search > paid search;0;0;3
paid search > Pinterest;1;4.423;2
FB > Tiktok > Tiktok > FB > Tiktok;1;5.16;2
Pinterest > Pinterest > retargeting> Pinterest > Pinterest > FB;1;6.284;2
FB > FB > FB > FB > FB > FB;1;2.124;3
snapchat > snapchat > Tiktok;1;3.35;2
Pinterest > Tiktok > FB > Tiktok;1;0.437;2
snapchat > Tiktok > FB > snapchat;1;3.501;3
Tiktok > FB;1;2.315;2
Pinterest > snapchat > paid search > Pinterest;1;4.43;3
paid search > paid search > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Pinterest > Tiktok > Tiktok;1;5.026;3
snapchat > Tiktok > display > Tiktok > display > snapchat > FB > display > Tiktok;1;3.308;3
FB;1;0.29;2
FB;3;13.85325;11
snapchat > snapchat > FB;1;2.56;3
paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > snapchat > FB > FB;1;3.275;3
FB > paid search > paid search > Tiktok > paid search > Tiktok > FB > snapchat > snapchat > paid search > paid search > paid search > snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > paid search > snapchat > FB > FB;1;4.801;2
FB > Tiktok > Bing > FB > Tiktok;1;2.285;2
paid search > retargeting> retargeting> offline > FB > offline > paid search > Retargeting;0;0;2
paid search > Pinterest > display > Tiktok > FB;1;9.585;3
FB > paid search > paid search > FB > paid search > Pinterest > paid search > FB > paid search > paid search > paid search > FB > paid search > paid search > paid search > paid search > FB > paid search > paid search > Pinterest > FB > paid search > paid search > FB > FB > FB > paid search > Tiktok > Tiktok > FB > FB;1;2.275;6
paid search > paid search > paid search > display;0;0;3
Bing > Tiktok > display;2;1.429;5
paid search > snapchat > snapchat > snapchat > paid search;0;0;3
paid search > paid search > paid search > paid search > paid search > Tiktok > paid search > paid search;1;1.85;3
paid search > snapchat > paid search;1;3.748;3
paid search > paid search > paid search > paid search;1;8.638;2
snapchat > FB > snapchat > FB > FB;1;1.751;2
Pinterest > FB > Tiktok > paid search > Tiktok > paid search > display > Tiktok > display > offline > snapchat > display > snapchat > Tiktok > Tiktok;1;3.12;3
Pinterest > paid search > Tiktok > Bing;1;4.092;2
Pinterest > FB > FB;1;3.54;2
paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > Tiktok > paid search > paid search > paid search > paid search > Tiktok > paid search > paid search;1;2.5;3
offline > Tiktok > Tiktok;2;7.706;5
FB > paid search > Tiktok > Pinterest > FB;1;3.25;2
paid search > Pinterest > paid search > paid search;0;0;2
Bing > snapchat > snapchat > snapchat > Bing;1;7.752;2
paid search > snapchat > snapchat;1;6.796;3
retargeting> paid search > paid search;1;4.408;2
paid search > Pinterest > paid search > paid search;1;1.725;2
paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > Pinterest > Tiktok;1;6.5;3
snapchat > FB > snapchat > FB;0;0;3
snapchat > Tiktok > FB;1;2.85;2
paid search > Tiktok > Pinterest > display;1;4.568;2
FB > Tiktok > Bing > Tiktok;1;1.004;2
paid search > display > Tiktok > display;1;4.532;2
snapchat > snapchat > snapchat > Pinterest > snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > FB > snapchat > snapchat > snapchat > FB > FB > Bing > snapchat > Bing;1;15.201;3
snapchat > display > Tiktok > display;2;6.942;6
FB > display > display > Tiktok > Bing > display > Tiktok > display;1;1.3;3
paid search > snapchat > snapchat > FB > snapchat > display > Tiktok > Tiktok > paid search;1;12.691;3
paid search > paid search > paid search > paid search > paid search;1;3.6;2
snapchat > Pinterest > FB > paid search > paid search > Tiktok;1;7.212;3
paid search > paid search > Pinterest > FB > FB;1;0.868;2
paid search > FB > FB > paid search > paid search > paid search > Tiktok > snapchat > Tiktok > Tiktok > Tiktok > paid search > paid search > Tiktok;0;0;2
FB;16;28.0816;55
paid search > paid search > FB > Tiktok > Tiktok > FB;0;0;2
Tiktok > Tiktok > offline > Tiktok > Bing > Bing > Pinterest > Pinterest > Tiktok > Pinterest > Tiktok;1;1.74;3
Bing > snapchat;1;2.893;3
snapchat > Pinterest > snapchat > snapchat > snapchat > snapchat > Tiktok > Pinterest > snapchat > FB > snapchat > Bing > snapchat > Pinterest > Bing;1;2.75;3
paid search > paid search > snapchat > FB;1;2.979;3
Pinterest > snapchat > Pinterest > snapchat > Pinterest;0;0;3
FB > snapchat > FB > FB;1;11.692;2
snapchat > FB > snapchat > Tiktok > snapchat > FB > Pinterest > snapchat;1;10.28;3
offline > offline;1;2.05;2
snapchat > snapchat > snapchat > Tiktok > Tiktok > Pinterest;1;4.2;3
paid search > paid search > paid search;1;3.34;3
FB > Tiktok;1;3.995;3
display > paid search > display > display;1;2.6765;5
Pinterest > paid search > Pinterest > Tiktok;1;3.973;3
FB;2;2.394;5
FB > FB;1;1.588;2
paid search > paid search > paid search > Pinterest > paid search > display;0;0;3
retargeting> Tiktok > Tiktok > Tiktok;1;4.015;3
snapchat > snapchat;1;11.085;2
retargeting> Tiktok > Retargeting;1;8.716;3
FB > paid search;1;2.389;3
snapchat > FB;1;0.468;2
FB;1;0.91;3
paid search > paid search > paid search > snapchat > snapchat > snapchat > snapchat;1;5.622;3
paid search > paid search > paid search > paid search > paid search > FB > paid search > paid search > snapchat > Pinterest > Pinterest > snapchat > paid search > paid search > paid search > paid search > paid search;1;2.265;3
paid search > snapchat > Tiktok > paid search;0;0;3
snapchat > snapchat > snapchat > snapchat > snapchat > Tiktok > FB > display;1;2.165;3
FB > Tiktok > FB;1;3.45;2
paid search > paid search > Bing > Bing > paid search > paid search;1;1.9;2
snapchat > paid search;0;0;2
paid search > paid search > paid search > display;1;3.9;2
paid search > paid search > snapchat > paid search > FB > paid search > snapchat;1;0.717;2
snapchat > paid search > paid search;0;0;2
FB > FB;2;5.20933333333333;7
snapchat > paid search > snapchat > snapchat > snapchat > paid search > snapchat > FB;1;7.994;3
Tiktok > Tiktok > Tiktok > Tiktok > paid search > Pinterest > Pinterest > Tiktok > Tiktok > Tiktok > Tiktok > Pinterest > Tiktok > Tiktok > Tiktok;1;2.867;2
snapchat > FB > paid search;0;0;3
FB > FB;2;6.3;5
FB > FB;1;3.458;3
paid search > paid search > paid search > paid search > paid search > FB > Tiktok > Bing > paid search > FB > Tiktok;1;1.971;2
paid search > paid search > Bing > display > display > paid search;0;0;3
paid search > Pinterest > Tiktok > snapchat;0;0;2
Pinterest > Tiktok > Pinterest > Tiktok > Pinterest > FB > FB > Tiktok > Pinterest;0;0;2
paid search > paid search > Tiktok > Bing > Bing;2;4.818;5
snapchat > snapchat > snapchat > snapchat > paid search > snapchat > FB;1;1.24;2
FB > FB > FB > FB;1;8.302;3
paid search > Pinterest > paid search > FB > paid search;0;0;3
FB > display > paid search > display > display > display > FB;0;0;2
Pinterest > Tiktok > display > Tiktok > display > Tiktok > display > display > Tiktok > display > display > display > display;1;2.32;3
snapchat > snapchat > snapchat > Tiktok > FB > snapchat > FB > snapchat > FB;1;2.71;3
FB > retargeting> Pinterest > snapchat > Tiktok;1;1.28;2
paid search > FB > FB;1;7.2;3
snapchat > FB > display > snapchat > FB;1;9.454;2
Pinterest > Tiktok > Tiktok > Pinterest > display;1;5.51;2
FB > Tiktok;1;2.416;6
paid search > Tiktok > paid search > snapchat > paid search;1;2.663;2
paid search > paid search > Pinterest > Pinterest;1;6.446;3
FB > snapchat > paid search > paid search;1;3.828;2
FB > FB;3;7.312;7
paid search > Pinterest > FB;0;0;3
FB;1;17.289;2
snapchat > Tiktok > Pinterest;0;0;2
snapchat > paid search > Tiktok > Tiktok;0;0;3
snapchat > Tiktok > FB;1;3.443;2
snapchat > FB;1;3.936;3
paid search > FB > Bing;1;2.3;3
paid search > FB > Bing;1;1.5;3
snapchat;1;3.1;2
FB > offline > paid search > paid search > paid search > paid search > paid search > FB > FB > Pinterest > FB;0;0;3
paid search > Pinterest > Pinterest > FB > snapchat > FB;1;2.357;2
FB > paid search > Pinterest > Bing > Tiktok > Tiktok > Tiktok > Tiktok;1;4.464;3
Tiktok > snapchat > Bing > snapchat > Bing;0;0;3
FB > FB > FB;1;8.324;3
FB;1;5.796;3
paid search > paid search > Pinterest > display > Pinterest > paid search > paid search > snapchat > snapchat > snapchat > paid search > paid search > snapchat > FB > Tiktok;1;3.555;2
paid search > FB > paid search > snapchat;1;2.248;3
paid search > paid search > paid search > snapchat > paid search > paid search > paid search > Tiktok > paid search;1;3.01;2
FB;1;3.084;3
Tiktok > Pinterest > Tiktok > Tiktok > Tiktok > paid search > Tiktok > paid search > Tiktok > Tiktok > Pinterest > Tiktok > retargeting> Pinterest > retargeting> Pinterest;1;13.125;2
snapchat > snapchat > snapchat > FB > Retargeting;1;2.331;2
paid search > paid search > Pinterest > Bing > Bing > paid search;1;5.846;2
paid search > Tiktok > snapchat > paid search;1;1.271;3
snapchat > Pinterest > snapchat > Pinterest > Pinterest > Pinterest > Bing;1;4.015;2
snapchat > snapchat > FB;1;6.81;2
paid search > snapchat > paid search;1;5.636;3
paid search > paid search > paid search > snapchat > snapchat > FB > Tiktok > Pinterest;1;9.916;2
paid search > paid search > FB > snapchat > display > Bing;1;2.64;3
paid search > paid search > Retargeting;1;2.424;2
paid search > display > display > display > display > Tiktok;1;8.884;2
FB;3;10.548;10
snapchat > FB > snapchat;0;0;3
paid search > Bing > paid search > paid search > paid search > paid search > Tiktok;3;5.513;8
Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > paid search > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > offline > Tiktok > Tiktok > Tiktok;1;2.649;2
paid search > paid search > paid search > display;2;13.7673333333333;8
Pinterest > Tiktok > snapchat > paid search > snapchat > FB > snapchat > Tiktok > snapchat > FB > FB;2;3.934;6
display > Pinterest > display > display;0;0;3
paid search > paid search > display;1;29.396;2
snapchat > paid search > paid search;1;1.47;3
paid search > paid search > snapchat > paid search > paid search;1;7.9;2
snapchat > paid search;1;2.436;2
FB;2;6.697;6
paid search > paid search > paid search > paid search > paid search > Pinterest > paid search > paid search > Tiktok > paid search > paid search > paid search;1;7.53;2
paid search > paid search > paid search > paid search > Tiktok > Tiktok;0;0;2
Pinterest > paid search > snapchat > paid search > paid search;0;0;2
paid search > snapchat > snapchat > snapchat > FB > FB > FB > FB > snapchat > FB > snapchat > FB > FB;1;2.89;3
FB > offline > paid search;1;2.597;3
snapchat > Pinterest > Tiktok > Pinterest > Pinterest > Pinterest;1;3.47;2
snapchat > snapchat > Pinterest;0;0;3
paid search > paid search > FB > display > FB;0;0;2
FB > Pinterest > snapchat > FB > snapchat > Pinterest > FB > Pinterest > snapchat > Pinterest > FB;2;6.648;5
paid search > Pinterest > paid search > paid search;1;2.44;3
snapchat > snapchat > snapchat;1;7.033;3
FB;1;0.695;2
retargeting> display > display > retargeting> FB;1;3.552;2
paid search > paid search > Pinterest > Tiktok > display;1;4.672;2
Pinterest > snapchat > display > snapchat > FB > Pinterest > snapchat > Bing > snapchat > Tiktok > Bing > snapchat;1;0.649;3
snapchat > snapchat;1;2.75;3
